# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
27,1640171733.4578962,75.1,71680,338.0296325683594,705.0886840820312,-488.3346252441406,-519.03076171875,35.08885955810547,-4.392741680145264,3
28,1640171735.6984556,75.1,74240,149.23277282714844,786.744140625,253.41673278808594,245.12384033203125,12.907707214355469,-4.6148223876953125,0
29,1640171738.07188,80.1,76800,113.80496215820312,800.26171875,-318.9935302734375,-347.13531494140625,32.77745056152344,-4.6356892585754395,1
30,1640171740.3331654,80.1,79360,360.49652099609375,772.5,66.61764526367188,56.89228820800781,14.477619171142578,-4.752256870269775,1
31,1640171742.5961242,85.1,81920,335.132568359375,752.2843627929688,-61.177242279052734,-75.53773498535156,18.991230010986328,-4.630736351013184,2
32,1640171744.9547596,85.1,84480,622.936767578125,697.1945190429688,181.6434783935547,169.70828247070312,16.629682540893555,-4.694485664367676,3
33,1640171747.3124518,90.1,87040,130.14190673828125,615.66796875,-93.6232681274414,-104.17201232910156,15.1968412399292,-4.648091793060303,3
34,1640171749.6619694,90.1,89600,149.90701293945312,661.0183715820312,349.7470703125,331.7605895996094,22.658374786376953,-4.671907901763916,5
35,1640171752.275433,90.1,92160,292.6322021484375,721.9000244140625,-373.39349365234375,-392.1850280761719,23.310070037841797,-4.518527507781982,1
36,1640171754.609927,95.1,94720,311.91046142578125,784.9594116210938,23.105892181396484,17.231342315673828,10.389802932739258,-4.515252590179443,1
37,1640171756.6659927,95.1,97280,318.68182373046875,742.3171997070312,286.9641418457031,276.81378173828125,14.676340103149414,-4.525965213775635,2
38,1640171759.2490613,100.1,99840,385.2405700683594,800.6781616210938,-158.50680541992188,-180.21817016601562,26.104183197021484,-4.392819404602051,3
39,1640171761.6889222,100.1,102400,345.34552001953125,633.72265625,291.97216796875,262.81060791015625,33.73053741455078,-4.5689616203308105,1
40,1640171764.2974234,105.1,104960,338.6336669921875,813.3890991210938,-325.6861267089844,-352.7657470703125,31.435203552246094,-4.35559606552124,1
41,1640171766.9726675,105.1,107520,324.1290283203125,617.5460815429688,68.66647338867188,64.08147430419922,9.110291481018066,-4.5252909660339355,2
42,1640171769.132072,110.2,110080,118.78702545166016,739.546875,-24.1420841217041,-30.297637939453125,10.650260925292969,-4.494707107543945,0
43,1640171771.5109127,110.2,112640,765.11376953125,616.8093872070312,145.02642822265625,133.79458618164062,15.756305694580078,-4.524466037750244,1
44,1640171773.9808202,115.2,115200,459.27728271484375,593.3624877929688,-176.72825622558594,-190.64369201660156,18.481582641601562,-4.566141605377197,4
45,1640171776.457838,115.2,117760,433.15838623046875,672.03515625,190.2767791748047,181.50831604003906,13.221769332885742,-4.453314304351807,5
46,1640171778.3699398,120.2,120320,271.72015380859375,770.9086303710938,-337.2227478027344,-354.759033203125,21.797256469726562,-4.260941982269287,0
47,1640171780.7559192,120.2,122880,128.884765625,691.1898803710938,263.1372985839844,245.030517578125,22.59539794921875,-4.488614559173584,1
48,1640171783.235912,125.2,125440,528.29443359375,714.6148681640625,-174.20533752441406,-197.511474609375,27.884098052978516,-4.577956199645996,1
49,1640171785.3947663,125.2,128000,38.31534957885742,576.1508178710938,214.1396484375,196.65866088867188,21.9171199798584,-4.436119556427002,2
50,1640171787.9054568,130.2,130560,429.384521484375,640.6554565429688,-233.59408569335938,-252.31703186035156,23.12282943725586,-4.399891376495361,3
51,1640171790.0447352,130.2,133120,267.82183837890625,722.7937622070312,343.9596252441406,316.07208251953125,32.35478210449219,-4.467245101928711,3
52,1640171792.4090724,135.2,135680,492.20831298828125,747.4496459960938,-132.7633056640625,-152.17691040039062,23.63327980041504,-4.219686985015869,1
53,1640171794.8294997,135.2,138240,290.25836181640625,717.876953125,278.88787841796875,261.08209228515625,22.33295440673828,-4.527166366577148,4
54,1640171797.1634068,135.2,140800,67.03759002685547,718.583984375,-55.111846923828125,-76.86407470703125,26.092079162597656,-4.339851379394531,4
55,1640171799.2976534,140.2,143360,498.64202880859375,881.111328125,29.475357055664062,21.257362365722656,12.587284088134766,-4.369290351867676,3
56,1640171801.6958702,140.2,145920,358.7002868652344,733.1953125,-145.36654663085938,-165.2128448486328,24.35277557373047,-4.506471633911133,2
57,1640171804.1667566,145.2,148480,126.18468475341797,732.0043334960938,235.08738708496094,223.16151428222656,16.259838104248047,-4.333974838256836,2
58,1640171806.3611383,145.2,151040,907.3888549804688,808.2492065429688,-86.21277618408203,-96.31211853027344,14.546802520751953,-4.447458267211914,0
59,1640171808.989847,150.2,153600,335.56646728515625,815.0851440429688,84.7816390991211,79.11302947998047,10.05487060546875,-4.386261940002441,6
60,1640171811.2534773,150.2,156160,15.477999687194824,761.84375,250.01675415039062,219.35687255859375,35.09490203857422,-4.435034275054932,4
61,1640171815.5839727,155.2,161280,733.6060791015625,849.2734375,-98.28138732910156,-105.08845520019531,11.099761962890625,-4.292693138122559,3
62,1640171817.6551569,160.2,163840,78.64232635498047,967.4230346679688,43.66103744506836,38.357234954833984,9.424546241760254,-4.120741367340088,3
63,1640171819.9796038,160.2,166400,769.8297729492188,920.1593627929688,-53.979732513427734,-90.54299926757812,40.62123489379883,-4.057969570159912,5
64,1640171822.1546354,160.2,168960,381.05474853515625,958.5011596679688,123.34069061279297,107.7161865234375,19.778587341308594,-4.154080390930176,2
65,1640171824.4963884,165.2,171520,500.0229187011719,1010.478515625,-109.48788452148438,-132.32781982421875,26.801273345947266,-3.9613356590270996,1
66,1640171826.6257658,165.2,174080,320.9790954589844,962.2332153320312,371.1850280761719,316.3204345703125,59.04947280883789,-4.184881687164307,1
67,1640171828.7472138,170.2,176640,329.61767578125,1015.2234497070312,-156.4660186767578,-173.8074188232422,21.323183059692383,-3.9817795753479004,2
68,1640171831.2549014,170.2,179200,776.1708984375,961.3695678710938,51.048301696777344,38.810142517089844,16.283809661865234,-4.045650959014893,1
69,1640171833.5115027,175.2,181760,106.1737289428711,1005.1605834960938,14.004768371582031,4.760784149169922,13.3870210647583,-4.143036365509033,3
70,1640171835.4520118,175.2,184320,671.4356689453125,1128.3382568359375,-115.96985626220703,-119.82563018798828,7.962793827056885,-4.107017993927002,2
71,1640171837.3513496,175.2,186880,751.1673583984375,995.3898315429688,277.488525390625,269.7496032714844,12.120016098022461,-4.381089210510254,2
72,1640171839.4454887,180.2,189440,786.46728515625,1149.1015625,23.45638084411621,9.601654052734375,18.197917938232422,-4.343191623687744,0
73,1640171841.9969478,180.2,192000,373.9531555175781,1171.1031494140625,317.2202453613281,296.634033203125,24.953319549560547,-4.3670830726623535,2
74,1640171844.6464524,185.2,194560,340.6690979003906,964.8351440429688,-239.03057861328125,-274.1222229003906,39.47200393676758,-4.380361557006836,3
75,1640171846.6963007,185.2,197120,281.76995849609375,890.6417846679688,67.1397476196289,57.296058654785156,14.439428329467773,-4.595739841461182,2
76,1640171849.1687024,190.2,199680,34.45698547363281,962.5046997070312,-92.45470428466797,-101.01384735107422,12.898872375488281,-4.339729309082031,2
77,1640171851.2400637,190.2,202240,3874.189208984375,856.6703491210938,377.48583984375,361.47052001953125,20.328384399414062,-4.3130340576171875,2
78,1640171853.4810221,195.2,204800,83.29472351074219,960.2277221679688,-28.309959411621094,-39.28596878051758,15.380987167358398,-4.404977798461914,1
79,1640171855.9836907,195.2,207360,43.0990104675293,1173.84375,-127.12459564208984,-141.05824279785156,18.434917449951172,-4.501270771026611,0
80,1640171857.949513,200.2,209920,335.62200927734375,963.98046875,-89.67588806152344,-98.70407104492188,13.70150375366211,-4.673325061798096,0
81,1640171859.881987,200.2,212480,109.3692626953125,997.0523681640625,-81.14498901367188,-91.24544525146484,14.781142234802246,-4.6806840896606445,1
82,1640171862.2318335,200.2,215040,178.34756469726562,1102.388671875,127.65164184570312,118.10045623779297,14.095063209533691,-4.543880462646484,3
83,1640171864.4928102,205.2,217600,106.96701049804688,1071.197265625,48.082862854003906,39.83873748779297,12.944694519042969,-4.700568675994873,0
84,1640171866.7546246,205.2,220160,314.5866394042969,1186.357421875,-63.081844329833984,-75.80717468261719,17.349321365356445,-4.623987674713135,0
85,1640171869.4126425,210.2,222720,247.79562377929688,1102.4832763671875,406.6192321777344,381.23919677734375,30.15127182006836,-4.771250247955322,3
86,1640171871.673066,210.2,225280,15.38699722290039,1022.4625244140625,72.53311157226562,63.89052200317383,13.333049774169922,-4.69045877456665,1
87,1640171874.5626585,215.2,227840,743.3164672851562,1122.5406494140625,-354.3517150878906,-380.99053955078125,31.321725845336914,-4.682900428771973,1
88,1640171876.8598251,215.2,230400,179.54476928710938,863.7926025390625,127.78340911865234,116.2903060913086,16.16400909423828,-4.670906066894531,4
89,1640171879.0540574,220.2,232960,660.8583984375,967.6293334960938,-415.0827941894531,-441.84759521484375,31.47508430480957,-4.710309028625488,6
90,1640171881.128972,220.2,235520,113.121337890625,756.7371215820312,178.05184936523438,162.2286376953125,20.719158172607422,-4.895952224731445,3
91,1640171883.7435703,225.2,238080,72.46610260009766,857.5765991210938,-232.73477172851562,-259.39306640625,31.311141967773438,-4.652848243713379,6
92,1640171885.997444,225.2,240640,57.54465866088867,886.3726806640625,155.67433166503906,137.96116638183594,22.40069580078125,-4.687529563903809,3
93,1640171888.3537714,230.2,243200,176.3804168701172,831.7999877929688,-274.50128173828125,-294.3275146484375,24.576417922973633,-4.750190734863281,3
94,1640171890.8479803,230.2,245760,137.4774932861328,1092.2769775390625,331.78631591796875,310.7984924316406,25.712406158447266,-4.724582195281982,1
95,1640171893.2840638,235.3,248320,245.55691528320312,1017.9535522460938,-382.4950256347656,-400.35125732421875,22.471511840820312,-4.61526346206665,4
96,1640171895.4375982,235.3,250880,33.19599914550781,888.2035522460938,175.2359161376953,160.02792358398438,19.934404373168945,-4.726411819458008,1
97,1640171897.8355544,240.3,253440,574.6649780273438,890.5703125,-358.56219482421875,-386.63482666015625,32.814971923828125,-4.742333889007568,1
98,1640171900.1152296,240.3,256000,577.7467651367188,960.4285278320312,20.6455078125,-12.88996696472168,38.21229553222656,-4.676821708679199,2
99,1640171902.3936148,240.3,258560,218.4043731689453,808.3078002929688,132.10166931152344,112.45857238769531,24.191097259521484,-4.548001289367676,2
100,1640171904.4962995,245.3,261120,875.2587280273438,705.8527221679688,-238.3162384033203,-256.1717529296875,22.492782592773438,-4.637266635894775,2
101,1640171907.0690284,245.3,263680,39.24900817871094,701.1375122070312,433.12139892578125,416.0418395996094,21.54861831665039,-4.4690470695495605,4
102,1640171911.9321039,250.3,268800,524.2821044921875,760.1902465820312,-289.75177001953125,-310.0291748046875,25.164438247680664,-4.8870391845703125,2
103,1640171914.463985,255.3,271360,294.54254150390625,823.1378784179688,-110.93456268310547,-125.91848754882812,19.714405059814453,-4.730474948883057,2
104,1640171916.7398891,255.3,273920,278.84869384765625,641.9664306640625,350.8583068847656,333.663818359375,21.99938201904297,-4.804896831512451,3
105,1640171919.1758256,260.3,276480,932.6027221679688,776.8488159179688,141.1058349609375,116.50344848632812,29.306968688964844,-4.704594135284424,0
106,1640171921.347597,260.3,279040,233.4908447265625,722.0523681640625,-333.90777587890625,-352.7371826171875,23.591955184936523,-4.762540340423584,4
107,1640171923.5605893,265.3,281600,505.288330078125,736.1234741210938,-141.6220245361328,-148.04776000976562,11.257680892944336,-4.83193302154541,0
108,1640171925.6797013,265.3,284160,613.3851318359375,770.6695556640625,312.92205810546875,293.2574157714844,24.59300422668457,-4.928380489349365,1
109,1640171928.0677164,270.3,286720,322.6076354980469,784.3062744140625,-197.38360595703125,-215.67941284179688,22.989139556884766,-4.69333553314209,0
110,1640171930.393792,270.3,289280,414.66009521484375,859.6433715820312,259.3072204589844,241.49954223632812,22.59360122680664,-4.785920143127441,1
111,1640171932.6906228,275.3,291840,355.9956359863281,966.0007934570312,-100.78956604003906,-119.54313659667969,23.459224700927734,-4.705661296844482,4
112,1640171934.8907366,275.3,294400,138.64796447753906,898.1656494140625,47.5037841796875,35.0667610168457,17.111583709716797,-4.674561977386475,2
113,1640171937.0683916,275.3,296960,571.173095703125,1016.5773315429688,216.5824737548828,200.92359924316406,20.360549926757812,-4.701676845550537,2
114,1640171939.2572346,280.3,299520,313.2445068359375,894.5277709960938,-152.4209442138672,-168.34857177734375,20.73055648803711,-4.80293083190918,2
115,1640171941.4900882,280.3,302080,336.7598876953125,885.5457153320312,188.12677001953125,161.04286193847656,31.944128036499023,-4.8602166175842285,3
116,1640171943.807003,285.3,304640,437.72845458984375,986.6707153320312,-324.4140625,-346.40057373046875,26.686080932617188,-4.699594974517822,1
117,1640171946.1961284,285.3,307200,440.14862060546875,1087.9296875,157.51148986816406,147.10470581054688,14.993064880371094,-4.586287498474121,1
118,1640171948.4337997,290.3,309760,225.60716247558594,1018.0691528320312,-360.1882019042969,-382.5089111328125,26.938617706298828,-4.61793327331543,1
119,1640171950.873401,290.3,312320,196.20706176757812,1020.794921875,-104.96233367919922,-112.91825866699219,12.58456039428711,-4.628641605377197,5
120,1640171953.23101,295.3,314880,267.16497802734375,1058.1636962890625,254.85690307617188,237.94630432128906,21.494163513183594,-4.583551406860352,2
121,1640171955.7037091,295.3,317440,83.09300994873047,1228.3414306640625,-60.4818229675293,-77.79629516601562,21.90387725830078,-4.589404582977295,1
122,1640171958.1436677,300.3,320000,948.5374145507812,907.7211303710938,36.98322677612305,17.169212341308594,24.501903533935547,-4.687888145446777,2
123,1640171960.2852879,300.3,322560,207.7855224609375,866.6586303710938,470.473876953125,450.5816650390625,24.39333152770996,-4.50112247467041,1
124,1640171962.9562297,305.3,325120,1286.1300048828125,822.1547241210938,156.96755981445312,148.87619018554688,12.811861038208008,-4.720495223999023,3
125,1640171965.4456215,305.3,327680,253.0672607421875,902.8578491210938,-25.293363571166992,-36.828407287597656,16.240459442138672,-4.705415725708008,2
126,1640171967.847373,310.3,330240,285.6627197265625,959.779296875,154.01947021484375,125.35118103027344,33.346763610839844,-4.678462982177734,1
127,1640171970.1422782,310.3,332800,470.2204284667969,841.8855590820312,-125.01739501953125,-149.007568359375,28.55478286743164,-4.564602851867676,4
128,1640171974.4655857,315.3,337920,199.65777587890625,954.2133178710938,-132.71994018554688,-141.13087463378906,13.217304229736328,-4.806369304656982,5
129,1640171976.7201412,315.3,340480,1006.806884765625,1075.5946044921875,130.42330932617188,109.38269805908203,25.932199478149414,-4.8915910720825195,1
130,1640171979.3261423,320.3,343040,173.1941375732422,1020.2667846679688,-175.73516845703125,-185.99139404296875,14.875162124633789,-4.618946075439453,4
131,1640171981.153297,320.3,345600,713.1317749023438,1016.6495971679688,1.486051082611084,-7.914973258972168,14.226448059082031,-4.825423717498779,0
132,1640171984.0923917,325.3,348160,481.18902587890625,1087.0543212890625,-123.17450714111328,-145.891357421875,27.415382385253906,-4.698529243469238,3
133,1640171986.5114276,325.3,350720,811.7403564453125,1054.173828125,184.7037811279297,171.15988159179688,18.093460083007812,-4.549567222595215,2
134,1640171988.9192865,330.3,353280,209.7860870361328,979.3546752929688,-261.7175598144531,-270.6589660644531,13.695989608764648,-4.754591464996338,0
135,1640171991.5574496,330.3,355840,160.75291442871094,965.0695190429688,219.0941925048828,206.51206970214844,17.322128295898438,-4.740007400512695,4
136,1640171993.5547705,335.3,358400,599.6517333984375,855.3179931640625,-84.27806091308594,-96.51982116699219,16.796552658081055,-4.55479621887207,3
137,1640171995.9513547,335.3,360960,666.1727294921875,1226.7899169921875,198.4166717529297,184.5700225830078,18.496604919433594,-4.649948596954346,1
138,1640171998.2601109,340.3,363520,146.49673461914062,903.1176147460938,-12.94906997680664,-50.6209716796875,42.26576232910156,-4.593860626220703,0
139,1640172000.5849822,340.3,366080,606.7543334960938,904.767578125,-234.4484405517578,-257.97857666015625,28.228153228759766,-4.698017597198486,4
140,1640172002.7924106,345.3,368640,47.069000244140625,1302.2938232421875,-20.607452392578125,-24.495044708251953,8.612110137939453,-4.724516868591309,3
141,1640172005.09025,345.3,371200,169.0113983154297,965.4008178710938,24.304473876953125,14.751221656799316,14.323982238769531,-4.770728588104248,0
142,1640172007.3355358,345.3,373760,421.4465026855469,940.4887084960938,-169.3158721923828,-192.77821350097656,28.071348190307617,-4.609007835388184,2
143,1640172009.918418,350.3,376320,640.3756103515625,1234.5511474609375,-32.012977600097656,-43.27936935424805,15.988568305969238,-4.722173690795898,2
144,1640172012.1809204,350.3,378880,503.719970703125,1141.7996826171875,273.01165771484375,262.6133117675781,15.12832260131836,-4.729977130889893,0
145,1640172014.6811316,355.4,381440,573.8710327148438,899.6484375,27.652372360229492,14.40220832824707,17.96832275390625,-4.718156337738037,1
146,1640172017.0075881,355.4,384000,824.011962890625,980.8621215820312,164.36228942871094,158.41127014160156,10.663579940795898,-4.712553024291992,0
147,1640172019.253067,360.4,386560,213.53790283203125,930.7937622070312,115.8127670288086,102.78702545166016,17.906383514404297,-4.8806376457214355,0
148,1640172021.6937354,360.4,389120,1314.494140625,920.8425903320312,-297.06842041015625,-357.53369140625,65.10147857666016,-4.636190414428711,4
149,1640172023.7261682,365.4,391680,244.64610290527344,780.0023803710938,97.4390869140625,84.80783081054688,17.309980392456055,-4.6787285804748535,2
150,1640172025.8685892,365.4,394240,685.5956420898438,866.1168212890625,-316.77960205078125,-334.831298828125,22.97229766845703,-4.920585632324219,1
151,1640172028.334011,370.4,396800,483.96356201171875,984.4754028320312,-90.98916625976562,-108.19430541992188,22.0142822265625,-4.80914306640625,1
152,1640172030.71817,370.4,399360,94.82811737060547,816.544921875,106.57470703125,88.9984359741211,22.38564682006836,-4.809369087219238,4
153,1640172032.9406724,375.4,401920,169.56680297851562,898.541015625,-86.23064422607422,-105.02304077148438,23.706912994384766,-4.914509296417236,2
154,1640172035.1823294,375.4,404480,457.1329345703125,788.0590209960938,752.6956176757812,504.5134582519531,252.95321655273438,-4.7710280418396,0
155,1640172037.5606158,380.4,407040,129.18934631347656,949.6332397460938,-322.7496337890625,-356.67138671875,38.50166702270508,-4.579922199249268,2
156,1640172039.6665478,380.4,409600,208.07669067382812,875.3648681640625,218.40187072753906,206.49710083007812,16.67898941040039,-4.774209499359131,0
157,1640172041.9879305,380.4,412160,324.15338134765625,843.2261962890625,-170.97756958007812,-193.55995178222656,27.23350715637207,-4.651126861572266,1
158,1640172044.381954,385.4,414720,463.686279296875,830.2574462890625,104.45919799804688,86.9991455078125,22.174968719482422,-4.71491813659668,2
159,1640172046.8970728,385.4,417280,1253.8203125,1108.5692138671875,-326.3964538574219,-351.428466796875,29.64563751220703,-4.613620281219482,2
160,1640172049.3857179,390.4,419840,324.97265625,860.6453247070312,372.6102294921875,318.8438720703125,58.39525604248047,-4.628916263580322,1
161,1640172051.7176104,390.4,422400,376.3938903808594,886.5265502929688,-234.82467651367188,-254.94313049316406,24.818151473999023,-4.699688911437988,1
162,1640172054.2925434,395.4,424960,321.28839111328125,1092.8656005859375,109.31051635742188,93.49174499511719,20.38857078552246,-4.569799900054932,3
163,1640172056.4345899,395.4,427520,1009.9249267578125,877.083984375,-45.19713592529297,-55.46485137939453,14.920820236206055,-4.653106689453125,3
164,1640172058.7292347,400.4,430080,190.53948974609375,863.3800659179688,259.0286560058594,241.08255004882812,22.611133575439453,-4.665029048919678,2
165,1640172061.0408614,400.4,432640,203.2101287841797,903.5777587890625,-110.28018188476562,-124.16658020019531,18.40028953552246,-4.513894557952881,1
166,1640172062.9679823,405.4,435200,565.2644653320312,1139.59765625,111.59359741210938,96.05914306640625,20.146997451782227,-4.612544536590576,0
167,1640172065.4875436,405.4,437760,175.3013153076172,921.2144775390625,15.068638801574707,-2.2050628662109375,21.905906677246094,-4.632205009460449,1
168,1640172068.1373262,410.4,440320,131.04788208007812,915.0562744140625,172.9002227783203,149.4734649658203,28.093429565429688,-4.666676044464111,3
169,1640172070.3620174,410.4,442880,339.0953063964844,1127.927734375,-32.55506896972656,-46.014549255371094,18.069419860839844,-4.609940052032471,3
170,1640172072.8673806,415.4,445440,270.8092041015625,683.6031494140625,164.95849609375,142.42404174804688,27.269386291503906,-4.734917163848877,1
171,1640172075.0046852,415.4,448000,475.9248962402344,733.8570556640625,11.911371231079102,-7.072383880615234,23.41373634338379,-4.429980754852295,2
172,1640172077.9281273,420.4,450560,161.09591674804688,605.65234375,-98.7801513671875,-125.70257568359375,31.29837989807129,-4.375949859619141,5
173,1640172080.1717002,420.4,453120,785.41015625,591.7921752929688,418.43231201171875,376.4754333496094,46.373252868652344,-4.416391849517822,4
174,1640172082.512953,420.4,455680,117.97782897949219,614.412109375,-199.909912109375,-205.71795654296875,10.149347305297852,-4.34130859375,4
